客户ID,年龄,性别,收入,满意度,购买次数,地区,产品类型
C001,28,女,35000,4,5,一线城市,电子产品
C002,35,男,52000,5,8,一线城市,服装
C003,42,女,48000,4,6,二线城市,食品
C004,29,男,38000,3,3,一线城市,电子产品
C005,51,女,65000,5,12,一线城市,服装
C006,33,男,45000,4,7,二线城市,食品
C007,26,女,32000,3,4,三线城市,电子产品
C008,44,男,58000,5,10,一线城市,服装
C009,38,女,50000,4,8,二线城市,食品
C010,31,男,40000,4,5,一线城市,电子产品
C011,47,女,62000,5,11,一线城市,服装
C012,25,男,30000,3,2,三线城市,电子产品
C013,40,女,55000,4,9,二线城市,食品
C014,36,男,47000,4,7,一线城市,服装
C015,29,女,37000,3,4,三线城市,电子产品
C016,53,男,68000,5,13,一线城市,服装
C017,34,女,46000,4,6,二线城市,食品
C018,27,男,33000,3,3,三线城市,电子产品
C019,45,女,60000,5,10,一线城市,服装
C020,32,男,42000,4,6,二线城市,食品
C021,30,女,36000,3,4,三线城市,电子产品
C022,48,男,64000,5,12,一线城市,服装
C023,37,女,49000,4,8,二线城市,食品
C024,28,男,34000,3,3,三线城市,电子产品
C025,50,女,66000,5,13,一线城市,服装
C026,35,男,48000,4,7,二线城市,食品
C027,26,女,31000,3,2,三线城市,电子产品
C028,43,男,59000,5,11,一线城市,服装
C029,39,女,51000,4,9,二线城市,食品
C030,31,男,39000,4,5,一线城市,电子产品

