日期,销售额,访问量,转化率,广告投入
2023-01-01,12500,1250,0.032,5000
2023-01-02,13200,1320,0.033,5200
2023-01-03,11800,1180,0.031,4800
2023-01-04,14500,1450,0.035,5500
2023-01-05,12800,1280,0.032,5100
2023-01-06,13900,1390,0.034,5300
2023-01-07,15200,1520,0.036,5800
2023-01-08,12400,1240,0.031,5000
2023-01-09,14100,1410,0.034,5400
2023-01-10,13600,1360,0.033,5200
2023-01-11,14800,1480,0.035,5600
2023-01-12,13100,1310,0.032,5100
2023-01-13,15700,1570,0.037,6000
2023-01-14,12900,1290,0.032,5000
2023-01-15,14300,1430,0.034,5500
2023-01-16,13500,1350,0.033,5200
2023-01-17,14900,1490,0.035,5700
2023-01-18,12700,1270,0.031,4900
2023-01-19,15400,1540,0.036,5900
2023-01-20,13800,1380,0.033,5300
2023-01-21,14600,1460,0.035,5600
2023-01-22,13000,1300,0.032,5000
2023-01-23,15100,1510,0.036,5800
2023-01-24,13300,1330,0.033,5100
2023-01-25,14700,1470,0.035,5700
2023-01-26,12600,1260,0.031,4900
2023-01-27,15300,1530,0.037,5900
2023-01-28,13700,1370,0.033,5300
2023-01-29,15000,1500,0.036,5800
2023-01-30,13200,1320,0.032,5100
2023-01-31,15500,1550,0.037,6000

